addition to geoid,geoid,,hpi 2010,hpi 2019,% change
,6037237402,14000US06037237402,151.26,335.43,1.22
,6037237800,14000US06037237800,166.69,346.63,1.08
,6037237900,14000US06037237900,213.73,427.04,1
,6037238000,14000US06037238000,298.64,593.44,0.99
,6037238100,14000US06037238100,203.3,414.88,1.04
,6037238200,14000US06037238200,177.17,351.07,0.98
,6037238400,14000US06037238400,310.06,605.97,0.95
,6037239501,14000US06037239501,117.72,231.31,0.96
,6037239502,14000US06037239502,100.2,246.95,1.46
,6037239701,14000US06037239701,102.13,225.87,1.21
,6037239802,14000US06037239802,148.12,324.41,1.19
,6037240020,14000US06037240020,134.01,329.68,1.46
,6037240200,14000US06037240200,138.37,315.15,1.28
,6037240300,14000US06037240300,159.04,319.71,1.01
,6037240402,14000US06037240402,142.62,332.51,1.33
,6037240600,14000US06037240600,149.23,344.42,1.31
,6037240700,14000US06037240700,140.01,347.62,1.48
,6037240800,14000US06037240800,105.98,257.63,1.43
,6037240900,14000US06037240900,146.22,402.82,1.75
,6037241001,14000US06037241001,138.41,316.42,1.29
,6037241002,14000US06037241002,135.26,346.32,1.56
,6037241120,14000US06037241120,83.61,219.68,1.63
,6037241201,14000US06037241201,142.04,362.1,1.55
,6037241202,14000US06037241202,151.96,337.21,1.22
,6037241300,14000US06037241300,158.19,331.73,1.1
,6037241400,14000US06037241400,123.21,221.68,0.8
,6037242000,14000US06037242000,94.95,239,1.52
,6037242200,14000US06037242200,116.45,357.82,2.07
,6037242700,14000US06037242700,120.9,346.63,1.87
,6037243000,14000US06037243000,126.12,321.88,1.55
,6037243100,14000US06037243100,114.59,307.62,1.68
,6037261200,14000US06037261200,316.83,462.84,0.46
,6037262100,14000US06037262100,185.58,307.42,0.66
,6037267502,14000US06037267502,210.66,413.27,0.96
,6037269500,14000US06037269500,394.43,699.87,0.77
,6037269601,14000US06037269601,136.21,263.74,0.94
,6037269700,14000US06037269700,618.07,1154.54,0.87
,6037269800,14000US06037269800,439.84,752.78,0.71
,6037270200,14000US06037270200,459.11,853.86,0.86
,6037270300,14000US06037270300,405.25,742,0.83
,6037271100,14000US06037271100,407.01,641.05,0.58
,6037271300,14000US06037271300,422.19,735.4,0.74
,6037271400,14000US06037271400,612.65,1070.76,0.75
,6037271701,14000US06037271701,416.15,732.52,0.76
,6037271801,14000US06037271801,396.24,652.63,0.65
,6037271901,14000US06037271901,368.5,670.77,0.82
,6037271902,14000US06037271902,398.77,666.39,0.67
,6037272100,14000US06037272100,841.67,1343.25,0.6
